Publisher,Global Sales
Nintendo,128.18
Sony Computer Entertainment,94.52
Capcom,85.16
Namco Bandai Games,36.9
THQ,89.23
Acclaim Entertainment,1.53
Atari,26.65
N/A,0.85
Warner Bros. Interactive Entertainment,118.24
GT Interactive,8.88
Arena Entertainment,0
Midway Games,7.35
Square Enix,29.16
Electronic Arts,115.54
Sega,32.15
Microsoft Game Studios,12.45
Ubisoft,142.94
Eidos Interactive,65.6
Virgin Interactive,20.35
Tomy Corporation,0.37
Tecmo Koei,29.04
Rage Software,0
Activision,142.33
Gotham Games,0
Atlus,0.17
SquareSoft,0
PQube,0.63
Takara,0.12
3DO,6.28
Nippon Ichi Software,1.32
Ultravision,0
Empire Interactive,0.69
Ubisoft Annecy,3.38
Infogrames,0.77
Konami Digital Entertainment,71.33
Human Entertainment,0
Takara Tomy,0.56
Marvelous Entertainment,1.4
New,0
Sammy Corporation,0
Rising Star Games,1.64
Ignition Entertainment,0.76
Universal Interactive,3.68
Titus,0.57
Arc System Works,0.06
SNK Playmore,0
SNK,0
Xing Entertainment,0
Interplay,1.38
Crave Entertainment,1.09
Vivendi Games,12.6
Global Star,0.11
Agetec,0.23
Majesco Entertainment,2.95
Ocean,1.62
AQ Interactive,0
Vic Tokai,0
Zoo Digital Publishing,0.78
D3Publisher,9.8
505 Games,3.22
Spike,0.97
Unknown,4.32
Angel Studios,0
JVC,0.06
Time Warner Interactive,0
SouthPeak Games,0.91
BAM! Entertainment,1.09
Aqua Plus,0
Natsume,0
Asmik Ace Entertainment,0
Banpresto,0.3
Deep Silver,13.36
Marvelous Interactive,0.8
Midas Interactive Entertainment,0.09
Screenlife,0.54
NewKidCo,0.06
Enterbrain,0
Falcom Corporation,0
Game Factory,0.36
Irem Software Engineering,0.16
Take-Two Interactive,211.08
Ecole,0
Grand Prix Games,0
Hudson Soft,1.42
Imagineer,0
Playmore,0
Cloud Imperium Games Corporation,0
5pb,0.13
Sunsoft,0
G.Rev,0
Kokopeli Digital Studios,0
ESP,0
Tryfirst,0
Yuke's,0
Broccoli,0.28
Metro 3D,0
Sunrise Interactive,0.07
Yeti,0.01
Taito,0.24
Jaleco,0.15
Nitroplus,0
