Publisher,Global Sales
Nintendo,35.71
Sony Computer Entertainment,13.55
Capcom,10.25
Namco Bandai Games,5.29
THQ,19.98
Acclaim Entertainment,1.24
Atari,3.56
N/A,0.27
Warner Bros. Interactive Entertainment,0.59
GT Interactive,0
Arena Entertainment,0
Midway Games,0.37
Square Enix,2.96
Electronic Arts,4.75
Sega,7.41
Microsoft Game Studios,1.63
Ubisoft,22.19
Eidos Interactive,0.68
Virgin Interactive,0.78
Tomy Corporation,0
Tecmo Koei,1.01
Rage Software,0
Activision,5.42
Gotham Games,0
Atlus,0.03
SquareSoft,0
PQube,0.5
Takara,0
3DO,0.35
Nippon Ichi Software,0.42
Ultravision,0
Empire Interactive,0.11
Ubisoft Annecy,0
Infogrames,0.72
Konami Digital Entertainment,9.57
Human Entertainment,0.29
Takara Tomy,0
Marvelous Entertainment,0
New,0
Sammy Corporation,0.07
Rising Star Games,0.21
Ignition Entertainment,0.04
Universal Interactive,0
Titus,0
Arc System Works,0.27
SNK Playmore,0.1
SNK,0
Xing Entertainment,0
Interplay,0.83
Crave Entertainment,0.15
Vivendi Games,1.54
Global Star,1.3
Agetec,0
Majesco Entertainment,0.91
Ocean,0
AQ Interactive,0
Vic Tokai,0
Zoo Digital Publishing,0.39
D3Publisher,0.77
505 Games,0.74
Spike,0.1
Unknown,1.15
Angel Studios,0
JVC,0
Time Warner Interactive,0
SouthPeak Games,0.2
BAM! Entertainment,0.79
Aqua Plus,0.77
Natsume,0.08
Asmik Ace Entertainment,0.04
Banpresto,0.64
Deep Silver,1.67
Marvelous Interactive,0.55
Midas Interactive Entertainment,0
Screenlife,0
NewKidCo,0.26
Enterbrain,0.25
Falcom Corporation,0
Game Factory,0.86
Irem Software Engineering,0
Take-Two Interactive,7.56
Ecole,0
Grand Prix Games,0
Hudson Soft,0.24
Imagineer,0.4
Playmore,0
Cloud Imperium Games Corporation,0
5pb,1.34
Sunsoft,0.2
G.Rev,0
Kokopeli Digital Studios,0
ESP,0
Tryfirst,0
Yuke's,0
Broccoli,0.43
Metro 3D,0
Sunrise Interactive,0
Yeti,0.21
Taito,0.02
Jaleco,0
Nitroplus,0.01
