Publisher,Global Sales
Nintendo,53.35
Sony Computer Entertainment,28.15
Capcom,33.01
Namco Bandai Games,61.22
THQ,72.86
Acclaim Entertainment,16.8
Atari,25.98
N/A,3.21
Warner Bros. Interactive Entertainment,13.69
GT Interactive,6.84
Arena Entertainment,2.67
Midway Games,16.51
Square Enix,3.2
Electronic Arts,31.39
Sega,14.68
Microsoft Game Studios,2.43
Ubisoft,7.07
Eidos Interactive,2.73
Virgin Interactive,7.98
Tomy Corporation,4.13
Tecmo Koei,3.8
Rage Software,1.1
Activision,2.86
Gotham Games,0.97
Atlus,1.19
SquareSoft,1.55
PQube,2.8
Takara,1.8
3DO,0.55
Nippon Ichi Software,0.63
Ultravision,0.47
Empire Interactive,0.47
Ubisoft Annecy,0.77
Infogrames,0.55
Konami Digital Entertainment,1.73
Human Entertainment,1.46
Takara Tomy,1.05
Marvelous Entertainment,0.36
New,0.36
Sammy Corporation,0.61
Rising Star Games,0.72
Ignition Entertainment,2.26
Universal Interactive,0.31
Titus,0.68
Arc System Works,0.84
SNK Playmore,0.7
SNK,2.59
Xing Entertainment,0.24
Interplay,0.21
Crave Entertainment,0.47
Vivendi Games,0.5
Global Star,0.18
Agetec,0.17
Majesco Entertainment,0.28
Ocean,0.22
AQ Interactive,0.19
Vic Tokai,0.27
Zoo Digital Publishing,0.28
D3Publisher,0.26
505 Games,0.91
Spike,0.25
Unknown,0.29
Angel Studios,0.12
JVC,0.12
Time Warner Interactive,0.11
SouthPeak Games,0.21
BAM! Entertainment,0.11
Aqua Plus,0.1
Natsume,0.1
Asmik Ace Entertainment,0.1
Banpresto,0.25
Deep Silver,0.19
Marvelous Interactive,0.3
Midas Interactive Entertainment,0.07
Screenlife,0.07
NewKidCo,0.07
Enterbrain,0.07
Falcom Corporation,0.06
Game Factory,0.09
Irem Software Engineering,0.06
Take-Two Interactive,0.06
Ecole,0.06
Grand Prix Games,0.06
Hudson Soft,0.17
Imagineer,0.05
Playmore,0.04
Cloud Imperium Games Corporation,0.08
5pb,0.04
Sunsoft,0.06
G.Rev,0.03
Kokopeli Digital Studios,0.03
ESP,0.03
Tryfirst,0.03
Yuke's,0.05
Broccoli,0.03
Metro 3D,0.02
Sunrise Interactive,0.02
Yeti,0.02
Taito,0.01
Jaleco,0.01
Nitroplus,0.01
