Publisher,Global Sales
Nintendo,180.67
Sony Computer Entertainment,80.8
Capcom,1.94
Namco Bandai Games,29.55
THQ,23.68
Acclaim Entertainment,1.19
Atari,7.21
N/A,7.81
Warner Bros. Interactive Entertainment,5.64
GT Interactive,0.94
Arena Entertainment,0
Midway Games,9.61
Square Enix,1.56
Electronic Arts,24.95
Sega,20.21
Microsoft Game Studios,46.99
Ubisoft,97.53
Eidos Interactive,1.12
Virgin Interactive,0.04
Tomy Corporation,0.03
Tecmo Koei,0.35
Rage Software,0
Activision,76.55
Gotham Games,0
Atlus,0.02
SquareSoft,0
PQube,0.04
Takara,0.89
3DO,0
Nippon Ichi Software,1.13
Ultravision,0
Empire Interactive,0.77
Ubisoft Annecy,0.17
Infogrames,3.73
Konami Digital Entertainment,18.62
Human Entertainment,0
Takara Tomy,0.35
Marvelous Entertainment,0.1
New,0
Sammy Corporation,1.67
Rising Star Games,2.16
Ignition Entertainment,0.46
Universal Interactive,0.56
Titus,0.06
Arc System Works,0.05
SNK Playmore,0
SNK,0
Xing Entertainment,0
Interplay,1.02
Crave Entertainment,2.61
Vivendi Games,1.55
Global Star,0
Agetec,0.08
Majesco Entertainment,2.7
Ocean,0.04
AQ Interactive,0.34
Vic Tokai,0
Zoo Digital Publishing,2.55
D3Publisher,3.75
505 Games,4.53
Spike,0.57
Unknown,6.53
Angel Studios,0
JVC,0.08
Time Warner Interactive,0
SouthPeak Games,0.17
BAM! Entertainment,0.2
Aqua Plus,0.15
Natsume,0.04
Asmik Ace Entertainment,0
Banpresto,0.01
Deep Silver,0.72
Marvelous Interactive,0.03
Midas Interactive Entertainment,0.03
Screenlife,0
NewKidCo,0.92
Enterbrain,0
Falcom Corporation,0
Game Factory,0.41
Irem Software Engineering,0.17
Take-Two Interactive,10.58
Ecole,0
Grand Prix Games,0
Hudson Soft,4.88
Imagineer,0
Playmore,0
Cloud Imperium Games Corporation,0
5pb,0
Sunsoft,0.03
G.Rev,0
Kokopeli Digital Studios,0
ESP,0
Tryfirst,0
Yuke's,0
Broccoli,0.1
Metro 3D,0
Sunrise Interactive,0
Yeti,0
Taito,0.12
Jaleco,0.11
Nitroplus,0
