Publisher,Global Sales
Nintendo,284.9
Sony Computer Entertainment,44
Capcom,32.67
Namco Bandai Games,53.82
THQ,1.13
Acclaim Entertainment,0.26
Atari,8.07
N/A,0.06
Warner Bros. Interactive Entertainment,0
GT Interactive,0
Arena Entertainment,0
Midway Games,1.1
Square Enix,97.09
Electronic Arts,35.3
Sega,14.71
Microsoft Game Studios,20.58
Ubisoft,16.76
Eidos Interactive,3.52
Virgin Interactive,1.58
Tomy Corporation,0.24
Tecmo Koei,6.81
Rage Software,0
Activision,46.79
Gotham Games,0
Atlus,10.49
SquareSoft,52.59
PQube,0
Takara,0.02
3DO,0.25
Nippon Ichi Software,10.48
Ultravision,0
Empire Interactive,0.09
Ubisoft Annecy,0.14
Infogrames,2.14
Konami Digital Entertainment,13.74
Human Entertainment,0
Takara Tomy,0.39
Marvelous Entertainment,0.32
New,0
Sammy Corporation,0
Rising Star Games,5.8
Ignition Entertainment,0.36
Universal Interactive,0
Titus,0.05
Arc System Works,0.01
SNK Playmore,0.01
SNK,0
Xing Entertainment,0
Interplay,0.73
Crave Entertainment,1.14
Vivendi Games,1.06
Global Star,0
Agetec,0
Majesco Entertainment,0.11
Ocean,0
AQ Interactive,0
Vic Tokai,0
Zoo Digital Publishing,0
D3Publisher,0.69
505 Games,1.17
Spike,0.58
Unknown,5.28
Angel Studios,0.29
JVC,0
Time Warner Interactive,0
SouthPeak Games,1.28
BAM! Entertainment,0
Aqua Plus,0.11
Natsume,0.3
Asmik Ace Entertainment,0
Banpresto,2.62
Deep Silver,2.96
Marvelous Interactive,1.55
Midas Interactive Entertainment,0.06
Screenlife,0.31
NewKidCo,0
Enterbrain,0.77
Falcom Corporation,1.15
Game Factory,0.06
Irem Software Engineering,0.01
Take-Two Interactive,6.07
Ecole,0
Grand Prix Games,0
Hudson Soft,1.87
Imagineer,1.33
Playmore,0
Cloud Imperium Games Corporation,0
5pb,0.03
Sunsoft,0.21
G.Rev,0
Kokopeli Digital Studios,0
ESP,0.42
Tryfirst,0
Yuke's,0
Broccoli,0.01
Metro 3D,0.19
Sunrise Interactive,0.06
Yeti,0
Taito,0.12
Jaleco,0
Nitroplus,0
