Publisher,Global Sales
Nintendo,69.73
Sony Computer Entertainment,57.52
Capcom,11.15
Namco Bandai Games,9.87
THQ,14.9
Acclaim Entertainment,6.41
Atari,22.69
N/A,0.05
Warner Bros. Interactive Entertainment,3.71
GT Interactive,3.16
Arena Entertainment,0
Midway Games,5.62
Square Enix,7.37
Electronic Arts,158.26
Sega,16.59
Microsoft Game Studios,95.46
Ubisoft,67.65
Eidos Interactive,8.06
Virgin Interactive,4.27
Tomy Corporation,0
Tecmo Koei,0.29
Rage Software,0.11
Activision,299.87
Gotham Games,1.57
Atlus,0.11
SquareSoft,0.31
PQube,0.09
Takara,0
3DO,0.77
Nippon Ichi Software,0.02
Ultravision,0
Empire Interactive,1.48
Ubisoft Annecy,0
Infogrames,2.1
Konami Digital Entertainment,9.47
Human Entertainment,0
Takara Tomy,0
Marvelous Entertainment,0
New,0
Sammy Corporation,0
Rising Star Games,0.37
Ignition Entertainment,0.54
Universal Interactive,0.78
Titus,0.11
Arc System Works,0
SNK Playmore,0.15
SNK,0
Xing Entertainment,0
Interplay,0.66
Crave Entertainment,0.23
Vivendi Games,11.69
Global Star,0.55
Agetec,0
Majesco Entertainment,0.75
Ocean,0.23
AQ Interactive,0
Vic Tokai,0
Zoo Digital Publishing,0.6
D3Publisher,2.83
505 Games,5.57
Spike,0
Unknown,1.68
Angel Studios,0
JVC,0.05
Time Warner Interactive,0.04
SouthPeak Games,0.9
BAM! Entertainment,0.87
Aqua Plus,0
Natsume,0
Asmik Ace Entertainment,0
Banpresto,0.08
Deep Silver,0.53
Marvelous Interactive,0
Midas Interactive Entertainment,0.6
Screenlife,0
NewKidCo,0
Enterbrain,0
Falcom Corporation,0
Game Factory,0
Irem Software Engineering,0.03
Take-Two Interactive,54.47
Ecole,0
Grand Prix Games,0
Hudson Soft,1.23
Imagineer,0
Playmore,0
Cloud Imperium Games Corporation,0
5pb,0.05
Sunsoft,0.25
G.Rev,0.01
Kokopeli Digital Studios,0
ESP,0.03
Tryfirst,0
Yuke's,0
Broccoli,0
Metro 3D,0.19
Sunrise Interactive,0
Yeti,0
Taito,0.61
Jaleco,0.01
Nitroplus,0
