Publisher,Global Sales
Nintendo,85.27
Sony Computer Entertainment,8.67
Capcom,0.15
Namco Bandai Games,10.43
THQ,7.84
Acclaim Entertainment,0
Atari,4.88
N/A,0.24
Warner Bros. Interactive Entertainment,0
GT Interactive,0.07
Arena Entertainment,0
Midway Games,0
Square Enix,1.37
Electronic Arts,89.53
Sega,3.46
Microsoft Game Studios,12.49
Ubisoft,44.67
Eidos Interactive,1.01
Virgin Interactive,0.27
Tomy Corporation,0.13
Tecmo Koei,2.1
Rage Software,0
Activision,8.26
Gotham Games,0
Atlus,0.11
SquareSoft,0.31
PQube,0.05
Takara,0
3DO,0
Nippon Ichi Software,0
Ultravision,0
Empire Interactive,0.25
Ubisoft Annecy,0
Infogrames,0.06
Konami Digital Entertainment,32.31
Human Entertainment,0.32
Takara Tomy,0
Marvelous Entertainment,0.15
New,0
Sammy Corporation,0.38
Rising Star Games,4.58
Ignition Entertainment,0
Universal Interactive,0
Titus,1.07
Arc System Works,0
SNK Playmore,0
SNK,0
Xing Entertainment,0
Interplay,0.1
Crave Entertainment,0.28
Vivendi Games,0.03
Global Star,0.14
Agetec,0.31
Majesco Entertainment,2.03
Ocean,0
AQ Interactive,0
Vic Tokai,0
Zoo Digital Publishing,0.11
D3Publisher,0.31
505 Games,22.24
Spike,0.08
Unknown,1.5
Angel Studios,0
JVC,0
Time Warner Interactive,0
SouthPeak Games,0.46
BAM! Entertainment,0
Aqua Plus,0
Natsume,0.75
Asmik Ace Entertainment,0.09
Banpresto,0.7
Deep Silver,1.64
Marvelous Interactive,0.72
Midas Interactive Entertainment,0.02
Screenlife,0
NewKidCo,0
Enterbrain,0.04
Falcom Corporation,0
Game Factory,1.3
Irem Software Engineering,0
Take-Two Interactive,0.89
Ecole,0
Grand Prix Games,0
Hudson Soft,1.03
Imagineer,0.16
Playmore,0
Cloud Imperium Games Corporation,0
5pb,0.04
Sunsoft,0
G.Rev,0
Kokopeli Digital Studios,0
ESP,0.06
Tryfirst,0
Yuke's,0
Broccoli,0.03
Metro 3D,1.16
Sunrise Interactive,0
Yeti,0
Taito,1.72
Jaleco,0
Nitroplus,0
