Publisher,Global Sales
Nintendo,27.35
Sony Computer Entertainment,2.34
Capcom,0.3
Namco Bandai Games,11.83
THQ,7.49
Acclaim Entertainment,0.23
Atari,3.87
N/A,0.29
Warner Bros. Interactive Entertainment,2.86
GT Interactive,0
Arena Entertainment,0
Midway Games,0
Square Enix,1.87
Electronic Arts,14.08
Sega,6.87
Microsoft Game Studios,4.29
Ubisoft,8.45
Eidos Interactive,6.12
Virgin Interactive,4.67
Tomy Corporation,0
Tecmo Koei,5.63
Rage Software,0
Activision,17.7
Gotham Games,0
Atlus,0.11
SquareSoft,1.79
PQube,0
Takara,0
3DO,0.11
Nippon Ichi Software,0.04
Ultravision,0
Empire Interactive,0
Ubisoft Annecy,0
Infogrames,0.08
Konami Digital Entertainment,10.99
Human Entertainment,0.07
Takara Tomy,0.09
Marvelous Entertainment,0
New,0
Sammy Corporation,0
Rising Star Games,0.52
Ignition Entertainment,0.1
Universal Interactive,0
Titus,0.02
Arc System Works,0
SNK Playmore,0
SNK,0
Xing Entertainment,0
Interplay,0
Crave Entertainment,0.14
Vivendi Games,0.62
Global Star,0.07
Agetec,0.03
Majesco Entertainment,0.23
Ocean,0
AQ Interactive,0
Vic Tokai,0
Zoo Digital Publishing,0.09
D3Publisher,0.04
505 Games,0.2
Spike,0
Unknown,0.19
Angel Studios,0.03
JVC,0
Time Warner Interactive,0.09
SouthPeak Games,0.14
BAM! Entertainment,0
Aqua Plus,0.12
Natsume,0.09
Asmik Ace Entertainment,0
Banpresto,10.18
Deep Silver,0.89
Marvelous Interactive,0
Midas Interactive Entertainment,0.13
Screenlife,0
NewKidCo,0
Enterbrain,0
Falcom Corporation,0
Game Factory,0
Irem Software Engineering,0.03
Take-Two Interactive,7.4
Ecole,0
Grand Prix Games,0
Hudson Soft,0.03
Imagineer,0
Playmore,0
Cloud Imperium Games Corporation,0
5pb,0
Sunsoft,0
G.Rev,0
Kokopeli Digital Studios,0
ESP,0
Tryfirst,0
Yuke's,0
Broccoli,0.08
Metro 3D,0
Sunrise Interactive,0
Yeti,0
Taito,0
Jaleco,0.27
Nitroplus,0
